 IUTE  NOME TERMICA LAG
 XXXX  XXXXXXXXXXXX  X  XXXXXXX.XX  XXXXXXX.XX  XXXXXXX.XX
   86  ST.CRUZ NOVA  2
                            431.82      438.04      446.21
                            500.00      500.00      500.00
   15  LINHARES      2
                              0.00        0.00        0.00
                            177.39      182.60      142.18
  224  P. SERGIPE I  2
                            144.82        0.00        0.00
                           1593.00     1425.90     1480.36
 9999
