 IUTE  NOME TERMICA LAG
 XXXX  XXXXXXXXXXXX  X  XXXXXXX.XX  XXXXXXX.XX  XXXXXXX.XX
   86  ST.CRUZ NOVA  2
                            500.00      500.00      500.00
                            500.00      500.00      500.00
   15  LINHARES      2
                            150.32      143.95      138.34
                            157.64      168.83      180.74
  224  P. SERGIPE I  2
                           1173.79      757.96      686.98
                            506.86      598.14      695.32
 9999
